country,date,population_density,total_population,urban_population_pct,fertility_rate,age_dependency_ratio,life_expectancy,infant_mortality,gdp_per_capita,gross_capital_form_pct,inflation_rate,trade_pct_gdp,fdi_inflows_pct,country-year,gdp_growth,country_code
Canada,1983,2.82931195827603,0.013610533561416317,76.035,1.68,46.2486330152812,76.0604878048781,8.7,0.14099834139763812,20.2214015133534,5.86358802977368,46.7088835933124,1.35098439657101,Canada 1983,7.581750349943062,2
Canada,1984,2.85614811741335,0.013780046173343951,76.195,1.65,46.1281512758496,76.3319512195122,8.3,0.14581123369880017,20.9603754226319,4.30477830391735,52.4766984280909,1.59096403406333,Canada 1984,3.3640120920507055,2
Canada,1985,2.88236647002595,0.013945656364022108,76.354,1.67,46.0496330266674,76.3273170731707,8.0,0.14835531029653282,21.5336371835921,3.96203054065205,52.8419465348871,0.343202681414642,Canada 1985,1.7203318486146202,2
Canada,1986,2.91116122865311,0.01412754061652401,76.502,1.675,46.0480870253823,76.4639024390244,7.7,0.15208203556855043,21.6803068568065,4.19478629085621,53.0651501053871,0.714941620101729,Canada 1986,2.4774315079417297,2
Canada,1987,2.94978924978724,0.014371537409155054,76.522,1.68,46.2099123269083,76.7787804878049,7.5,0.17179034469821997,22.1777844328059,4.3561087122174,50.8663917985291,1.98490566969318,Canada 1987,12.784843380837629,2
Canada,1988,2.98828599121753,0.014614704963690661,76.542,1.68,46.4393108214108,76.8587804878049,7.3,0.19976168211818876,23.5060472743398,4.0282341487161,51.3657811368429,1.41277624760156,Canada 1988,16.088240056699064,2
Canada,1989,3.04238549833307,0.014956428557898978,76.562,1.77,46.6682955508555,77.1248780487805,7.0,0.21868017458767144,23.6100294976466,4.98362189985957,50.0666340073171,1.2643683536102,Canada 1989,9.373323476540008,2
Canada,1990,3.08860186557717,0.015248357707866554,76.582,1.83,46.9604608753888,77.4365853658537,6.8,0.22644221135802275,21.3042109213358,4.78047693336305,49.9944644220497,1.40950377153528,Canada 1990,3.516182152611691,2
Canada,1991,3.12722531367149,0.015492325614548653,76.62,1.72,47.3117698227704,77.5934146341464,6.6,0.22984915493312813,19.3412969720978,5.62586408593006,49.2234668475419,0.573724262982077,Canada 1991,1.4909132152831628,2
Canada,1992,3.16446145763971,0.01572753051066909,76.887,1.71,47.6541983447229,77.8380487804878,6.4,0.22033250315389216,18.377419839763,1.49013290374545,52.7380309449972,1.18075190608283,Canada 1992,-4.103405549895333,2
